nome,slug,codigo_ibge,estado,regiao,populacao,descricao,economia
Curitiba,,,,,,"Capital do Paraná e principal centro econômico do estado, reconhecida pela inovação, infraestrutura urbana e forte atividade empresarial.","comércio, tecnologia, indústria, serviços e logística"
Londrina,,,,,,"Um dos maiores polos urbanos do Sul do Brasil, com destaque para educação, saúde, comércio e desenvolvimento regional.","agronegócio, saúde, educação, comércio e serviços"
Maringá,,,,,,"Importante centro econômico do Norte do Paraná, conhecida pelo planejamento urbano, qualidade de vida e ambiente favorável aos negócios.","serviços, tecnologia, agronegócio, comércio e construção civil"
Cascavel,,,,,,"Principal polo econômico do Oeste Paranaense, com forte atuação do agronegócio e da logística regional.","agronegócio, logística, comércio, indústria e serviços"
Foz do Iguaçu,,,,,,"Cidade de destaque internacional na tríplice fronteira, conhecida pelo turismo e pela integração comercial com países vizinhos.","turismo, comércio, hotelaria, serviços e logística"
Ponta Grossa,,,,,,"Importante centro industrial e logístico dos Campos Gerais, com localização estratégica para distribuição de mercadorias.","indústria, logística, comércio, agronegócio e serviços"
São José dos Pinhais,,,,,,Município da região metropolitana de Curitiba com forte presença industrial e grande relevância para a economia estadual.,"indústria automotiva, logística, comércio e serviços"
Colombo,,,,,,"Uma das maiores cidades da região metropolitana de Curitiba, com economia diversificada e forte crescimento urbano.","comércio, serviços, indústria e construção civil"
Araucária,,,,,,"Cidade industrial de destaque nacional, sede de importantes operações ligadas ao setor energético e petroquímico.","indústria, energia, logística e serviços"
Toledo,,,,,,"Referência econômica do Oeste do Paraná, com destaque para a agroindústria e o desenvolvimento empresarial regional.","agroindústria, agronegócio, comércio e serviços"
Guarapuava,,,,,,,
Paranaguá,,,,,,,
Apucarana,,,,,,,
Campo Mourão,,,,,,,
Arapongas,,,,,,,
Pinhais,,,,,,,
Almirante Tamandaré,,,,,,,
Umuarama,,,,,,,
Cambé,,,,,,,
Fazenda Rio Grande,,,,,,,
